,ID,Name,Year,Rating,Duration,Reviews,Director,Genre,Link
15,tt0071075,The World at War,1973,9.1,52m,104,Laurence Olivier|Albert Speer|Anthony Eden,Nan,https://www.imdb.com/title/tt0071075/
16,tt8420184,The Last Dance,2020,9.1,8h 11m,495,Michael Jordan|Phil Jackson|Scottie Pippen,Documentary|Biography|History,https://www.imdb.com/title/tt8420184/
17,tt1533395,Life,2009,9.1,7h 53m,12,Oprah Winfrey|David Attenborough|Doug Allan,Documentary,https://www.imdb.com/title/tt1533395/
18,tt1355642,Hagane no renkinjutsushi,2009,9.0,24m,360,Kent Williams|Iemasa Kayumi|Vic Mignogna,Animation|Action|Adventure,https://www.imdb.com/title/tt1355642/
19,tt1475582,Sherlock,2010,9.0,1h 28m,971,Benedict Cumberbatch|Martin Freeman|Una Stubbs,Crime|Drama|Mystery,https://www.imdb.com/title/tt1475582/
20,tt1877514,The Vietnam War,2017,9.0,16h 30m,162,Peter Coyote|Huy Duc|James Willbanks,Nan,https://www.imdb.com/title/tt1877514/
21,tt12392504,Scam 1992: The Harshad Mehta Story,2020,9.0,54m,3.3K,Pratik Gandhi|Shreya Dhanwanthary|Hemant Kher,Biography|Crime|Drama,https://www.imdb.com/title/tt12392504/
22,tt0052520,The Twilight Zone,1959,9.0,51m,189,Rod Serling|Robert McCord|Jay Overholts,Drama|Fantasy|Horror,https://www.imdb.com/title/tt0052520/
23,tt0296310,The Blue Planet,2001,9.0,6h 29m,26,David Attenborough|Pierce Brosnan,Documentary,https://www.imdb.com/title/tt0296310/
24,tt0103359,Batman: The Animated Series,1992,9.0,23m,178,Kevin Conroy|Loren Lester|Efrem Zimbalist Jr.,Animation|Action|Adventure,https://www.imdb.com/title/tt0103359/
25,tt1806234,Human Planet,2011,8.9,50m,12,John Hurt|Roger Munns,Documentary,https://www.imdb.com/title/tt1806234/
26,tt0303461,Firefly,2002,8.9,44m,821,Nathan Fillion|Gina Torres|Alan Tudyk,Adventure|Drama|Sci-Fi,https://www.imdb.com/title/tt0303461/
27,tt7920978,Sahsiyet,2018,8.9,1h 5m,142,Haluk Bilginer|Cansu Dere|Metin Akdülger,Crime|Drama|Mystery,https://www.imdb.com/title/tt7920978/
28,tt10541088,Clarkson's Farm,2021,8.9,45m,692,Jeremy Clarkson|Kaleb Cooper|Charlie Ireland,Documentary|Reality-TV,https://www.imdb.com/title/tt10541088/
29,tt2092588,Frozen Planet,2011,8.9,5h 33m,16,David Attenborough|Alec Baldwin|Chadden Hunter,Documentary,https://www.imdb.com/title/tt2092588/
30,tt0877057,Death Note: Desu nôto,2006,8.9,24m,722,Mamoru Miyano|Brad Swaile|Vincent Tong,Animation|Crime|Drama,https://www.imdb.com/title/tt0877057/
31,tt0092337,Dekalog,1989,8.9,9h 32m,48,Artur Barcis|Olgierd Lukaszewicz|Aleksander Bardini,Drama,https://www.imdb.com/title/tt0092337/
32,tt2356777,True Detective,2014,8.9,55m,970,Vince Vaughn|Colin Farrell|Rachel McAdams,Crime|Drama|Mystery,https://www.imdb.com/title/tt2356777/
33,tt0213338,Kaubôi bibappu,1998,8.9,24m,306,Kôichi Yamadera|Unshô Ishizuka|Megumi Hayashibara,Animation|Action|Adventure,https://www.imdb.com/title/tt0213338/
34,tt0098769,The Civil War,1990,8.9,11h 20m,87,David McCullough|Sam Waterston|Julie Harris,Documentary|History|War,https://www.imdb.com/title/tt0098769/
35,tt2560140,Shingeki no kyojin,2013,8.9,24m,1.6K,Yûki Kaji|Marina Inoue|Josh Grelle,Animation|Action|Adventure,https://www.imdb.com/title/tt2560140/
36,tt2802850,Fargo,2014,8.9,53m,700,Billy Bob Thornton|Martin Freeman|Allison Tolman,Crime|Drama|Thriller,https://www.imdb.com/title/tt2802850/
37,tt2098220,Hunter x Hunter,2011,8.9,24m,262,Issei Futamata|Megumi Han|Cristina Valenzuela,Animation|Action|Adventure,https://www.imdb.com/title/tt2098220/
38,tt0386676,The Office,2005,8.9,22m,1.4K,Steve Carell|Jenna Fischer|John Krasinski,Comedy,https://www.imdb.com/title/tt0386676/
39,tt7137906,When They See Us,2019,8.8,4h 56m,682,Asante Blackk|Caleel Harris|Ethan Herisse,Biography|Crime|Drama,https://www.imdb.com/title/tt7137906/
40,tt2571774,Africa,2013,8.8,6h,12,David Attenborough|Simon Blakeney|Mark Deeble,Nan,https://www.imdb.com/title/tt2571774/
41,tt1508238,Apocalypse: La 2ème guerre mondiale,2009,8.8,5h 12m,29,Mathieu Kassovitz|Martin Sheen|Rudolf Hess,Documentary|History|War,https://www.imdb.com/title/tt1508238/
42,tt0081912,Only Fools and Horses....,1981,8.8,1h 35m,150,David Jason|Nicholas Lyndhurst|Roger Lloyd Pack,Comedy,https://www.imdb.com/title/tt0081912/
43,tt3530232,Last Week Tonight with John Oliver,2014,8.8,30m,113,John Oliver|David Kaye|Ryan Barger,Comedy|History|News,https://www.imdb.com/title/tt3530232/
44,tt4742876,TVF Pitchers,2015,8.8,40m,220,Naveen Kasturia|Arunabh Kumar|Jitendra Kumar,Comedy|Drama,https://www.imdb.com/title/tt4742876/
45,tt1865718,Gravity Falls,2012,8.8,23m,288,Jason Ritter|Alex Hirsch|Kristen Schaal,Animation|Action|Adventure,https://www.imdb.com/title/tt1865718/
46,tt0098904,Seinfeld,1989,8.8,22m,564,Jerry Seinfeld|Julia Louis-Dreyfus|Michael Richards,Comedy,https://www.imdb.com/title/tt0098904/
47,tt0081834,Das Boot,1985,8.8,4h 53m,28,Jürgen Prochnow|Herbert Grönemeyer|Klaus Wennemann,Nan,https://www.imdb.com/title/tt0081834/
48,tt0063929,Monty Python's Flying Circus,1969,8.8,30m,86,Graham Chapman|John Cleese|Terry Gilliam,Comedy,https://www.imdb.com/title/tt0063929/
49,tt2297757,Nathan for You,2013,8.8,30m,69,Nathan Fielder|Anthony Filosa|Brian S. Wolfe,Documentary|Comedy,https://www.imdb.com/title/tt2297757/
50,tt0108778,Friends,1994,8.8,22m,1.8K,Jennifer Aniston|Courteney Cox|Lisa Kudrow,Comedy|Romance,https://www.imdb.com/title/tt0108778/
51,tt0112130,Pride and Prejudice,1995,8.8,5h 27m,451,Colin Firth|Jennifer Ehle|Susannah Harker,Drama|Romance,https://www.imdb.com/title/tt0112130/
52,tt14164730,Dexter: New Blood,2021,8.7,AA,326,Michael C. Hall|Jack Alcott|Julia Jones,Crime|Drama|Mystery,https://www.imdb.com/title/tt14164730/
53,tt2085059,Black Mirror,2011,8.7,1h,839,Daniel Lapaine|Hannah John-Kamen|Michaela Coel,Drama|Sci-Fi|Thriller,https://www.imdb.com/title/tt2085059/
54,tt0098936,Twin Peaks,1990,8.7,47m,306,Kyle MacLachlan|Michael Ontkean|Mädchen Amick,Crime|Drama|Mystery,https://www.imdb.com/title/tt0098936/
55,tt3718778,Over the Garden Wall,2014,8.7,22m,160,Elijah Wood|Collin Dean|Melanie Lynskey,Animation|Adventure|Drama,https://www.imdb.com/title/tt3718778/
56,tt9432978,Kota Factory,2019,8.7,45m,537,Mayur More|Jitendra Kumar|Ranjan Raj,Comedy|Drama,https://www.imdb.com/title/tt9432978/
57,tt0072500,Fawlty Towers,1975,8.7,30m,184,John Cleese|Prunella Scales|Andrew Sachs,Comedy,https://www.imdb.com/title/tt0072500/
58,tt2707408,Narcos,2015,8.7,49m,459,Pedro Pascal|Lizbeth Eden|Wagner Moura,Biography|Crime|Drama,https://www.imdb.com/title/tt2707408/
59,tt0096548,Blackadder Goes Forth,1989,8.7,2h 55m,80,Rowan Atkinson|Tony Robinson|Stephen Fry,Nan,https://www.imdb.com/title/tt0096548/
60,tt0472954,It's Always Sunny in Philadelphia,2005,8.7,22m,388,Charlie Day|Glenn Howerton|Rob McElhenney,Comedy,https://www.imdb.com/title/tt0472954/
61,tt10986410,Ted Lasso,2020,8.7,30m,1.3K,Jason Sudeikis|Brett Goldstein|Brendan Hunt,Comedy|Drama|Sport,https://www.imdb.com/title/tt10986410/
62,tt3032476,Better Call Saul,2015,8.7,46m,938,Bob Odenkirk|Rhea Seehorn|Jonathan Banks,Crime|Drama,https://www.imdb.com/title/tt3032476/
63,tt0193676,Freaks and Geeks,1999,8.7,44m,224,Linda Cardellini|John Francis Daley|James Franco,Comedy|Drama,https://www.imdb.com/title/tt0193676/
64,tt0353049,Chappelle's Show,2003,8.7,22m,101,Dave Chappelle|Donnell Rawlings|Rudy Rush,Comedy|Music,https://www.imdb.com/title/tt0353049/
65,tt8111088,The Mandalorian,2019,8.7,40m,2.9K,Pedro Pascal|Carl Weathers|Barry Lowin,Action|Adventure|Fantasy,https://www.imdb.com/title/tt8111088/
66,tt2442560,Peaky Blinders,2013,8.7,1h,1K,Cillian Murphy|Paul Anderson|Helen McCrory,Crime|Drama,https://www.imdb.com/title/tt2442560/
67,tt0200276,The West Wing,1999,8.7,44m,280,Martin Sheen|Rob Lowe|Allison Janney,Drama,https://www.imdb.com/title/tt0200276/
68,tt5753856,Dark,2017,8.7,1h,3.7K,Louis Hofmann|Karoline Eichhorn|Lisa Vicari,Crime|Drama|Mystery,https://www.imdb.com/title/tt5753856/
69,tt1910272,Steins;Gate,2011,8.7,24m,222,Mamoru Miyano|Asami Imai|Kana Hanazawa,Animation|Comedy|Drama,https://www.imdb.com/title/tt1910272/
70,tt4508902,One Punch Man: Wanpanman,2015,8.7,24m,327,Makoto Furukawa|Kaito Ishikawa|Max Mittelman,Animation|Action|Comedy,https://www.imdb.com/title/tt4508902/
71,tt3398228,BoJack Horseman,2014,8.7,25m,535,Will Arnett|Amy Sedaris|Alison Brie,Animation|Comedy|Drama,https://www.imdb.com/title/tt3398228/
